state,constituency,candidate_name,party,num_votes,total_votes,perc_votes,rank,won
Andhra Pradesh,Anaparthy,CHELLE VEERRAJU,Independent,169,186710,0.0009,11,0
Andhra Pradesh,Anaparthy,PADALA KRISHNAREDDY,Independent,166,186710,0.0009,12,0
Andhra Pradesh,Kakinada City,Dwarampudi Chandra Sekhara Reddy,Yuvajana Sramika Rythu Congress Party,73890,171604,0.4306,1,1
Andhra Pradesh,Kakinada City,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,59779,171604,0.3484,2,0
Andhra Pradesh,Kakinada City,MOOTHA SASIDHER,Janasena Party,30188,171604,0.1759,3,0
Andhra Pradesh,Kakinada City,KOLA VENKATA VARAPRASAD VARMA,Indian National Congress,3252,171604,0.019,4,0
Andhra Pradesh,Kakinada City,NOTA,None of the Above,1654,171604,0.0096,5,0
Andhra Pradesh,Kakinada City,PEDDIREDDI RAVI KIRAN,Bharatiya Janata Party,1581,171604,0.0092,6,0
Andhra Pradesh,Kakinada City,INAKOTI KUMAR RAMJEE,All India Praja Party,238,171604,0.0014,7,0
Andhra Pradesh,Kakinada City,VADREVU SATISH KUMAR,Independent,210,171604,0.0012,8,0
Andhra Pradesh,Kakinada City,SOMAGANAPATHI,Pyramid Party of India,129,171604,0.0008,9,0
Andhra Pradesh,Kakinada City,MUSLEY HADDIN SHIRAJI MAHAMAD,Independent,129,171604,0.0008,10,0
Andhra Pradesh,Kakinada City,VEERA GANESH SUDHA,Mundadugu Praja Party,116,171604,0.0007,11,0
Andhra Pradesh,Kakinada City,B N RAO,Independent,111,171604,0.0006,12,0
Andhra Pradesh,Kakinada City,M G RAO,Independent,104,171604,0.0006,13,0
Andhra Pradesh,Kakinada City,MADIKI PRABHAKARA RAO,Independent,92,171604,0.0005,14,0
Andhra Pradesh,Kakinada City,THATIKONDA VIJAYAKUMAR,Independent,71,171604,0.0004,15,0
Andhra Pradesh,Kakinada City,D.CHANDRA SEKHAR RAO,Independent,60,171604,0.0003,16,0
Andhra Pradesh,Ramachandrapuram,CHELLUBOYINA SRINIVASA VENUGOPALAKRISHNA,Yuvajana Sramika Rythu Congress Party,75365,168891,0.4462,1,1
Andhra Pradesh,Ramachandrapuram,THOTA TRIMURTHULU,Telugu Desam,70197,168891,0.4156,2,0
